Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
4/18/2015,NO,W 106-99,40,13,25,4,13,4,7,4,5,0,3,4,3,34,Conference Quarterfinals,W,106,99
4/20/2015,NO,W 97-87,37,9,21,3,9,1,1,4,6,0,1,1,5,22,Conference Quarterfinals,W,97,87
4/23/2015,NO,W 123-119,44,10,29,7,18,13,14,5,9,0,0,3,3,40,Conference Quarterfinals,W,123,119
4/25/2015,NO,W 109-98,38,11,20,6,8,11,12,8,9,0,1,4,5,39,Conference Quarterfinals,W,109,98
5/3/2015,MEM,W 101-86,38,8,18,4,8,2,2,2,7,0,4,1,4,22,Conference Semifinals,W,101,86
5/5/2015,MEM,L 90-97,41,7,19,2,11,3,4,5,6,0,0,0,3,19,Conference Semifinals,L,90,97
5/9/2015,MEM,L 89-99,40,8,21,2,10,5,7,2,6,1,1,1,4,23,Conference Semifinals,L,89,99
5/11/2015,MEM,W 101-84,39,11,22,4,9,7,9,8,5,0,2,4,4,33,Conference Semifinals,W,101,84
5/13/2015,MEM,W 98-78,33,6,16,6,13,0,0,7,5,0,6,0,5,18,Conference Semifinals,W,98,78
5/15/2015,MEM,W 108-95,39,11,25,8,13,2,2,6,10,0,0,3,4,32,Conference Semifinals,W,108,95
5/19/2015,HOU,W 110-106,39,13,22,6,11,2,3,6,5,0,2,3,1,34,Conference Finals,W,110,106
5/21/2015,HOU,W 99-98,37,13,21,5,11,2,3,3,6,0,1,2,6,33,Conference Finals,W,99,98
5/23/2015,HOU,W 115-80,35,12,19,7,9,9,10,5,7,1,2,2,4,40,Conference Finals,W,115,80
5/25/2015,HOU,L 115-128,31,7,18,6,13,3,3,1,4,0,0,3,0,23,Conference Finals,L,115,128
5/27/2015,HOU,W 104-90,42,7,21,3,11,9,12,8,6,0,5,3,3,26,Conference Finals,W,104,90
6/4/2015,CLE,W 108-100,43,10,20,2,6,4,4,4,8,0,2,1,4,26,NBA Finals,W,108,100
6/7/2015,CLE,L 93-95,42,5,23,2,15,7,8,6,5,0,0,4,6,19,NBA Finals,L,93,95
6/9/2015,CLE,L 91-96,44,10,20,7,13,0,0,6,6,1,3,2,6,27,NBA Finals,L,91,96
6/11/2015,CLE,W 103-82,41,8,17,4,7,2,2,2,7,0,1,1,4,22,NBA Finals,W,103,82
6/14/2015,CLE,W 104-91,42,13,23,7,13,4,4,7,4,0,2,2,5,37,NBA Finals,W,104,91
6/16/2015,CLE,W 105-97,43,8,19,3,11,6,8,6,8,0,3,3,3,25,NBA Finals,W,105,97
